key,kind,label,window,mention_count,source_count,region_mix,category_mix,delta_vs_prev,delta_ratio,streak_days,sample_item_ids,sample_urls,updated_at
company:openai,company,OpenAI,all,31,2,us,ai,0,0,18,techcrunch-2026-04-18-003|techcrunch-2026-04-18-019|openai-2026-04-23-001,https://techcrunch.com/2026/04/17/kevin-weil-and-bill-peebles-exit-openai-as-company-continues-to-shed-side-quests/|https://techcrunch.com/video/are-we-tokenmaxxing-our-way-to-nowhere/|https://openai.com/index/speeding-up-agentic-workflows-with-websockets/,2026-04-24T10:43:18.451Z
company:anthropic,company,Anthropic,all,23,3,us|global,ai,0,0,18,techcrunch-2026-04-18-012|techcrunch-2026-04-18-019|anthropic-2026-04-23-001,https://techcrunch.com/2026/04/17/anthropic-launches-claude-design-a-new-product-for-creating-quick-visuals/|https://techcrunch.com/video/are-we-tokenmaxxing-our-way-to-nowhere/|https://www.anthropic.com/claude/haiku,2026-04-24T10:43:18.451Z
company:claude,company,Claude,all,10,3,us|global,ai,1,0.111,7,techcrunch-2026-04-18-012|hn-2026-04-18-006|hn-2026-04-18-008,https://techcrunch.com/2026/04/17/anthropic-launches-claude-design-a-new-product-for-creating-quick-visuals/|https://www.anthropic.com/news/claude-design-anthropic-labs|https://www.claudecodecamp.com/p/i-measured-claude-4-7-s-new-tokenizer-here-s-what-it-costs-you,2026-04-24T10:43:18.451Z
company:chatgpt,company,ChatGPT,all,7,1,us,ai,0,0,9,openai-2026-04-23-006|openai-2026-04-23-011|openai-2026-04-23-012,https://openai.com/index/building-chatgpt-atlas/|https://openai.com/index/introducing-workspace-agents-in-chatgpt/|https://openai.com/index/making-chatgpt-better-for-clinicians/,2026-04-24T10:43:18.451Z
company:world,company,World,all,4,3,us|global,general|ai|security,0,0,18,techcrunch-2026-04-18-002|techcrunch-2026-04-18-008|anthropic-2026-04-23-019,https://techcrunch.com/2026/04/17/sam-altmans-project-world-looks-to-scale-its-human-verification-empire-first-stop-tinder/|https://techcrunch.com/2026/04/17/zoom-teams-up-with-world-to-verify-humans-in-meeting/|https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,2026-04-24T10:43:18.451Z
company:meta,company,Meta,all,3,2,us,macro|general,0,0,2,techcrunch-2026-04-24-012|techcrunch-2026-04-24-016|hn-2026-04-24-005,https://techcrunch.com/2026/04/23/meta-job-cuts-10-percent-8000-employees/|https://techcrunch.com/2026/04/23/meta-is-revamping-its-cross-app-management-system/|https://www.bloomberg.com/news/articles/2026-04-23/meta-tells-staff-it-will-cut-10-of-jobs-in-push-for-efficiency,2026-04-24T10:43:18.451Z
company:bitcoin,company,Bitcoin,all,2,1,global,crypto,0,0,13,coingecko-2026-04-23-001|coingecko-2026-04-23-015,https://www.coingecko.com/en/coins/bitcoin|https://www.coingecko.com/en/coins/bitcoin-cash,2026-04-24T10:43:18.451Z
company:google,company,Google,all,2,2,us|global,ai|security,0,0,18,techcrunch-2026-04-18-014|hn-2026-04-24-009,https://techcrunch.com/2026/04/17/googles-ai-mode-can-now-help-you-find-products-in-stock-nearby/|https://developers.googleblog.com/torchtpu-running-pytorch-natively-on-tpus-at-google-scale/,2026-04-24T10:43:18.451Z
company:sora,company,Sora,all,2,2,us,ai,0,0,9,techcrunch-2026-04-18-003|openai-2026-04-23-009,https://techcrunch.com/2026/04/17/kevin-weil-and-bill-peebles-exit-openai-as-company-continues-to-shed-side-quests/|https://openai.com/index/shipping-sora-for-android-with-codex/,2026-04-24T10:43:18.451Z
company:airwallex,company,Airwallex,all,1,1,us,general,0,0,18,techcrunch-2026-04-18-001,https://techcrunch.com/2026/04/17/once-close-enough-for-an-acquisition-stripe-and-airwallex-are-now-going-after-each-other/,2026-04-24T10:43:18.451Z
company:bnb,company,BNB,all,1,1,global,general,0,0,12,coingecko-2026-04-23-005,https://www.coingecko.com/en/coins/binancecoin,2026-04-24T10:43:18.451Z
company:ethereum,company,Ethereum,all,1,1,global,crypto,0,0,13,coingecko-2026-04-23-002,https://www.coingecko.com/en/coins/ethereum,2026-04-24T10:43:18.451Z
company:microsoft,company,Microsoft,all,1,1,us,general,0,0,2,techcrunch-2026-04-24-014,https://techcrunch.com/2026/04/23/microsoft-offers-buyout-for-up-to-7-of-u-s-employees/,2026-04-24T10:43:18.451Z
company:solana,company,Solana,all,1,1,global,crypto,0,0,12,coingecko-2026-04-23-007,https://www.coingecko.com/en/coins/solana,2026-04-24T10:43:18.451Z
company:stripe,company,Stripe,all,1,1,us,general,0,0,18,techcrunch-2026-04-18-001,https://techcrunch.com/2026/04/17/once-close-enough-for-an-acquisition-stripe-and-airwallex-are-now-going-after-each-other/,2026-04-24T10:43:18.451Z
company:tinder,company,Tinder,all,1,1,us,general,0,0,18,techcrunch-2026-04-18-002,https://techcrunch.com/2026/04/17/sam-altmans-project-world-looks-to-scale-its-human-verification-empire-first-stop-tinder/,2026-04-24T10:43:18.451Z
company:xrp,company,XRP,all,1,1,global,general,0,0,12,coingecko-2026-04-23-004,https://www.coingecko.com/en/coins/ripple,2026-04-24T10:43:18.451Z
